Invoice No,Distributor Code,Customer Code,Route Code,Product Index,Product Code,,Product Description,UOM Code,Selling Type,Default UOM,Product Quantity,MRP,Product List Price,UOM List Price,Gross Amount,Product Discount,Promo Discount,SLS Discount,Customer Group Discount,Discount Amount,Amount After SKU Disc,Customer Discount,Total Tax Amount,Total Net Amount,SO Number,Document Type,Invoice Status,Invoice Date,GST Code,GST Rate,Backend Customer Ref No,Distributor User Defined 1,Distributor User Defined 2,Distributor User Defined 3,Distributor User Defined 4,Distributor User Defined 5,Distributor User Defined 1,Distributor User Defined 2,Distributor User Defined 3,Distributor User Defined 4,Distributor User Defined 5,Smallest UOM Quantity,Picklist Indicator,Outlet Type,Segmentation,Outlet Program,Route Plan Code & Name,VAT,Add VAT,HSN Code,Route Segmentation,Route Mobile Number
IN000213,7880336,CT0010043264,SHA1000,2,238167,0238167,Jik Bleach Regular 70Ml *144,CA,F,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000012,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,144,Picked,Wholesale-D,,,,,,,,
IN000213,7880336,CT0010043264,SHA1000,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,F,CA,72,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000012,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,72,Picked,Wholesale-D,,,,,,,,
IN000213,7880336,CT0010043264,SHA1000,4,384658,0384658,Jik Bleach Regular 250Ml *18,OU,F,CA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000012,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,9,Picked,Wholesale-D,,,,,,,,
IN000975,7880336,CT0010054484,SHA1000,2,238167,0238167,Jik Bleach Regular 70Ml *144,CA,F,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000020,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,144,Picked,Wholesale-D,,,,,,,,
IN000975,7880336,CT0010054484,SHA1000,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,F,CA,72,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000020,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,72,Picked,Wholesale-D,,,,,,,,
IN001236,7880336,CT0010043443,SHA1005,2,3049801,3049801,DETTOL LIQUID 96*50ML,OU,F,CA,48,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1005000161,Invoice,Invoiced,18/03/2025,,,,,,,,,,,,,,48,Picked,DTR Van-D,,,,,,,,
IN001286,7880336,CT0010047491,SHA1000,4,349130,0349130,Mortein Doom P.Gard Aik Lemon 12*100Ml,CA,F,CA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000028,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,48,Picked,Wholesale-D,,,,,,,,
IN001286,7880336,CT0010047491,SHA1000,25,384658,0384658,Jik Bleach Regular 250Ml *18,CA,F,CA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000028,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,72,Picked,Wholesale-D,,,,,,,,
IN001286,7880336,CT0010047491,SHA1000,35,366163,0366163,Dettol Soap Original 72*60G,CA,F,CA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000028,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,144,Picked,Wholesale-D,,,,,,,,
IN001286,7880336,CT0010047491,SHA1000,42,366165,0366165,Dettol Soap Original 48*175G,OU,F,CA,24,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000028,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,24,Picked,Wholesale-D,,,,,,,,
IN001286,7880336,CT0010047491,SHA1000,59,3286535,3286535,HARPIC POWERPLUS 100ML,CA,F,CA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000028,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,108,Picked,Wholesale-D,,,,,,,,
IN001405,7880336,CT0010054728,SHA1000,2,238167,0238167,Jik Bleach Regular 70Ml *144,OU,F,CA,72,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000031,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,72,Picked,Wholesale-D,,,,,,,,
IN001510,7880336,CT0010047491,SHA1000,12,238167,0238167,Jik Bleach Regular 70Ml *144,CA,F,CA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,SOSHA1000000032,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,1728,Unpick,Wholesale-D,,,,,,,,
IN001342,7880336,CT0010044938,SHA1004,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,1,0,3218.39,22.35,22.35,0,0,0,0,0,22.35,0,3.58,25.93,SOSHA1004000219,Invoice,Invoiced,20/03/2025,,,,,,,,,,,,,,1,Picked,DTR Van-D,,,,,,,,
IN000147,7880336,CT0010043052,SHA1001,3,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,1,0,1552,43.11,43.11,0,0,0,0,0,43.11,0,6.9,50.01,SOSHA1001000010,Invoice,Invoiced,04/03/2025,,,,,,,,,,,,,,1,Picked,DTR Van-D,,,,,,,,
IN000147,7880336,CT0010043052,SHA1001,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,2,0,3218.39,22.35,44.7,0,0,0,0,0,44.7,0,7.15,51.85,SOSHA1001000010,Invoice,Invoiced,04/03/2025,,,,,,,,,,,,,,2,Picked,DTR Van-D,,,,,,,,
IN000904,7880336,CT0010054391,SHA1000,54,3298961,3298961,Dettol soap Skincare 85g,EA,S,EA,1,0,94,94,94,0,0,0,0,0,94,0,0,94,SOSHA1000000019,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,1,Picked,Other Supermarts-D,,,,,,,,
IN000133,7880336,CT0010042925,SHA1001,1,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,6,0,3218.39,22.35,134.1,193.2,8.05,0,0,8.05,126.05,0,0,126.05,SOSHA1001000004,Invoice,Invoiced,04/03/2025,,,,,,,,,,,,,,6,Unpick,DTR Van-D,,,,,,,,
IN000234,7880336,CT0010045067,SHA1002,3,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,6,0,3218.39,22.35,134.1,193.2,8.05,0,0,8.05,126.05,0,20.17,146.22,SOSHA1002000058,Invoice,Invoiced,05/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000312,7880336,CT0010041882,SHA1003,4,238167,0238167,Jik Bleach Regular 70Ml *144,OU,S,CA,6,0,3218.39,22.35,134.1,193.2,8.05,0,0,8.05,126.05,0,20.17,146.22,SOSHA1003000064,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,6,Picked,DTR Van-D,,,,,,,,
IN000304,7880336,CT0010047445,SHA1002,5,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,3,0,1552,43.11,129.33,0,0,0,0,0,129.33,0,20.69,150.02,SOSHA1002000076,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-D,,,,,,,,
IN000854,7880336,CT0010045882,SHA1007,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,3,0,1552,43.11,129.33,0,0,0,0,0,129.33,0,20.69,150.02,SOSHA1007000139,Invoice,Invoiced,12/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-D,,,,,,,,
IN000908,7880336,CT0010047872,SHA1001,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,3,0,1552,43.11,129.33,0,0,0,0,0,129.33,0,20.69,150.02,SOSHA1001000155,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-D,,,,,,,,
IN000919,7880336,CT0010054418,SHA1003,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,3,0,1552,43.11,129.33,0,0,0,0,0,129.33,0,20.69,150.02,SOSHA1003000154,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-D,,,,,,,,
IN001157,7880336,CT0010041507,SHA1007,2,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,3,0,1552,43.11,129.33,0,0,0,0,0,129.33,0,20.69,150.02,SOSHA1007000171,Invoice,Invoiced,17/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-D,,,,,,,,
IN001446,7880336,CT0010054739,SHA1003,3,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,3,0,1552,43.11,129.33,0,0,0,0,0,129.33,0,20.69,150.02,SOSHA1003000247,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-D,,,,,,,,
IN001479,7880336,CT0010054704,SHA1005,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,3,0,1552,43.11,129.33,0,0,0,0,0,129.33,0,20.69,150.02,SOSHA1005000207,Invoice,Invoiced,21/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-A,,,,,,,,
IN000127,7880336,CT0010041798,SHA1003,1,366183,0366183,Dettol Soap Cool 72*60G,OU,S,CA,3,0,3986,55.36,166.08,239.04,9.96,0,0,9.96,156.12,0,0,156.12,SOSHA1003000011,Invoice,Invoiced,04/03/2025,,,,,,,,,,,,,,3,Unpick,DTR Van-D,,,,,,,,
IN000995,7880336,CT0010043993,SHA1003,1,366163,0366163,Dettol Soap Original 72*60G,OU,S,CA,3,0,3986,55.36,166.08,0,0,0,0,0,166.08,0,26.57,192.65,SOSHA1003000176,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-D,,,,,,,,
IN000995,7880336,CT0010043993,SHA1003,2,366194,0366194,Dettol Soap Herbal 72*60G,OU,S,CA,3,0,3986,55.36,166.08,0,0,0,0,0,166.08,0,26.57,192.65,SOSHA1003000176,Invoice,Invoiced,14/03/2025,,,,,,,,,,,,,,3,Picked,DTR Van-D,,,,,,,,
IN000934,7880336,CT0010054393,SHA1004,4,3286535,3286535,HARPIC POWERPLUS 100ML,OU,S,CA,4,0,1552,43.11,172.44,0,0,0,0,0,172.44,0,27.59,200.03,SOSHA1004000140,Invoice,Invoiced,13/03/2025,,,,,,,,,,,,,,4,Picked,DTR Van-D,,,,,,,,
IN000354,7880336,CT0010054082,SHA1006,1,349130,0349130,Mortein Doom P.Gard Aik Lemon 12*100Ml,OU,S,CA,1,0,2163.01,180.25,180.25,0,0,0,0,0,180.25,0,28.84,209.09,SOSHA1006000084,Invoice,Invoiced,06/03/2025,,,,,,,,,,,,,,1,Picked,DTR Van-A,,,,,,,,
IN000719,7880336,CT0010042970,SHA1001,1,349130,0349130,Mortein Doom P.Gard Aik Lemon 12*100Ml,OU,S,CA,1,0,2163.01,180.25,180.25,0,0,0,0,0,180.25,0,28.84,209.09,SOSHA1001000124,Invoice,Invoiced,11/03/2025,,,,,,,,,,,,,,1,Picked,DTR Van-D,,,,,,,,
